HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.choice1,Answer.expl-1,Answer.choice2,Answer.expl-2,Answer.choice3,Answer.expl-3,Answer.choice4,Answer.expl-4,Answer.choice5,Answer.expl-5,Answer.choice6,Answer.expl-6,Answer.choice7,Answer.expl-7,Answer.choice8,Answer.expl-8,Answer.choice9,Answer.expl-9,Answer.choice10,Answer.expl-10,Answer.choice11,Answer.expl-11,Answer.choice12,Answer.expl-12,Answer.choice13,Answer.expl-13,Answer.choice14,Answer.expl-14,Approve,Reject,
3MJ28H2Y1EFTMP8F1YSKOHHETAHO5U,3AHTORI2CV5BMIELXJL6G74PTM7HXP,Twitter Misinformation User Survey,Read Machine Learning classification for tweets contain misinformation about vaccines. Rate the classification templates and describe why they are good or bad.,"tweets, misinformation, vaccine, reasoning, rate",$0.20 ,Mon Sep 17 22:23:41 PDT 2018,20,BatchId:3374578;OriginalHitTemplateId:920937332;,3600,259200,Mon Sep 24 22:23:41 PDT 2018,,,3MB8LZR5BG0QL7OFLVL0M9RMRCPLKG,A219TCR742JXF8,Approved,Tue Sep 18 00:02:10 PDT 2018,Tue Sep 18 00:07:03 PDT 2018,Fri Sep 21 00:07:03 PDT 2018,Tue Sep 18 15:35:07 PDT 2018,,,293,100% (1/1),100% (1/1),100% (1/1),C,Appears the same,B,Better knowledge,B,More information,B,Better explanation,B,Better explanation by the tweet,C,Same information,B,Greater information,C,Greater explanation,B,Better information,B,Greater information,B,Excellent summary,B,More information,B,Greater information,B,Better information,,,
3MJ28H2Y1EFTMP8F1YSKOHHETAHO5U,3AHTORI2CV5BMIELXJL6G74PTM7HXP,Twitter Misinformation User Survey,Read Machine Learning classification for tweets contain misinformation about vaccines. Rate the classification templates and describe why they are good or bad.,"tweets, misinformation, vaccine, reasoning, rate",$0.20 ,Mon Sep 17 22:23:41 PDT 2018,20,BatchId:3374578;OriginalHitTemplateId:920937332;,3600,259200,Mon Sep 24 22:23:41 PDT 2018,,,3N2BF7Y2VR1JPZ5SFMJI9UQJZZ5MH7,AQJU0QTBRKJ3,Approved,Mon Sep 17 22:51:06 PDT 2018,Mon Sep 17 23:04:01 PDT 2018,Thu Sep 20 23:04:01 PDT 2018,Tue Sep 18 15:35:07 PDT 2018,,,775,100% (1/1),100% (1/1),100% (1/1),B,It contains specific information that I assume can be backed up by actual published scientific results.,B,It has specifics that I've read from multiple science articles that reflects the reality of the situation accurately,B,I choose the option that goes into specifics,B,I choose B because that link goes to propaganda by D'Suza or whatever who is a 3rd rate charlatan and disingenuous grifter who really should go back to jail.,B,I again choose the option that goes into more detail.,B,I choose the option that goes into more detail,B,The more detailed option is better.,B,More details = better choice,B,The detailed rebuttal is the better option,B,Having more details in the response makes it a more effective choice,B,It has more details,B,The details make this choice the best option,B,Detailed option is the best choice,B,Option B has more details making it the best choice.,,,
3MJ28H2Y1EFTMP8F1YSKOHHETAHO5U,3AHTORI2CV5BMIELXJL6G74PTM7HXP,Twitter Misinformation User Survey,Read Machine Learning classification for tweets contain misinformation about vaccines. Rate the classification templates and describe why they are good or bad.,"tweets, misinformation, vaccine, reasoning, rate",$0.20 ,Mon Sep 17 22:23:41 PDT 2018,20,BatchId:3374578;OriginalHitTemplateId:920937332;,3600,259200,Mon Sep 24 22:23:41 PDT 2018,,,3P4MQ7TPPYJDFVY9O5JD93CRSNUBBP,A6PO7JT39QQGP,Approved,Mon Sep 17 22:27:19 PDT 2018,Mon Sep 17 22:57:39 PDT 2018,Thu Sep 20 22:57:39 PDT 2018,Tue Sep 18 15:35:07 PDT 2018,,,1820,100% (1/1),100% (1/1),100% (1/1),A,"NOWADAYS PEOPLE ARE SHARING WITHOUT ANY CONCERN. THEY ARE SAYING WHAT THEY ARE THINKING AND WHAT THEY FEEL, THEY DONT WANT TO KNOW WHETHER IT IS CORRECT OR NOT.",B,MERCURY IS A METAL FOUND NATURALLY IN THE ENVIRONMENT. IT IS USED AS A PRESERVATIVE OF FLU VACCINES.,B,"Bacteria, viruses, pathogens and parasites thrive in egg and milk, and are carried like a time release capsule in peanut oil.",C,Fetal tissue research involves cells from dead fetuses that are harvested for the purpose of establishing cell lines or for use as transplantation material and other purposes.,A,I ACCEPT THE ABOVE STATEMENT.,B,"Measles, mumps, and rubella are viral diseases that can have serious consequences.",B,"Vaccines create immunity in an individual without them having to encounter the pathogen. This is achieved by introducing a weakened or killed form of the disease agent that make us ill äóñ such as bacteria or viruses äóñ or its toxins, or one of its surface proteins. The vaccine induces acquired immunity so that when your body encounters the real disease-causing agent it is ready to mount a defense.",C,"Mumps is best known for causing puffy cheeks and a swollen jaw. This is due to swelling of the salivary glands. Other symptoms include fever, head and muscle aches, and tiredness",B,"Mumps outbreaks can occur any time of year. A major factor contributing to outbreaks is being in a crowded environment, such as attending the same class, playing on the same sports team, or living in a dormitory with a person who has mumps. Also, certain behaviors that result in exchanging saliva, such as kissing or sharing utensils, cups, lip balm or cigarettes, might increase spread of the virus. In some years, there are more cases of mumps than usual because of outbreaks.",C,"No matter how much evidence is arrayed against it, its spokespeople always finds a way to spin, distort, or misrepresent the evidence to combat it and not have to give up the concept that vaccines cause autism",B,No association of uptake in Vitamin D with a decrease in flu infections,A,"Although child vaccination rates remain high, some parental concern persists that vaccines might cause autism. Three specific hypotheses have been proposed: (1) the combination measles-mumps-rubella vaccine causes autism by damaging the intestinal lining, which allows the entrance of encephalopathic proteins; (2) thimerosal, an ethylmercury-containing preservative in some vaccines, is toxic to the central nervous system; and (3) the simultaneous administration of multiple vaccines overwhelms or weakens the immune system",C,"PV is a äóìsexually transmittedäóù disease for which two äóìreliableäóù vaccines are available for äóìprevention.äóù HPV is a äóìsexually transmittedäóù disease for which two äóìreliableäóù vaccines are available for äóìprevention.äóù",C,"Children are given shots (vaccines) at a young age because this is when they are at highest risk of getting sick or dying if they get these diseases. Newborn babies are immune to some diseases because they have antibodies they get from their mothers, usually before they are born. However, this immunity lasts a few months. Most babies do not get protective antibodies against diphtheria, whooping cough, polio, tetanus, hepatitis B, or Hib from their mothers. This is why itäó»s important to vaccinate a child before she or he is exposed to a disease.",,,
3MJ28H2Y1EFTMP8F1YSKOHHETAHO5U,3AHTORI2CV5BMIELXJL6G74PTM7HXP,Twitter Misinformation User Survey,Read Machine Learning classification for tweets contain misinformation about vaccines. Rate the classification templates and describe why they are good or bad.,"tweets, misinformation, vaccine, reasoning, rate",$0.20 ,Mon Sep 17 22:23:41 PDT 2018,20,BatchId:3374578;OriginalHitTemplateId:920937332;,3600,259200,Mon Sep 24 22:23:41 PDT 2018,,,3PXX5PX6LY58WLTHIRJHESSLA6IAB4,A3F9G4CEZQ3S4V,Approved,Tue Sep 18 00:10:30 PDT 2018,Tue Sep 18 00:12:12 PDT 2018,Fri Sep 21 00:12:12 PDT 2018,Tue Sep 18 15:35:08 PDT 2018,,,102,100% (1/1),100% (1/1),100% (1/1),B,{},B,{},A,{},,{},B,{},B,{},A,{},A,{},B,{},A,{},B,{},B,{},B,{},B,{},,,
3MJ28H2Y1EFTMP8F1YSKOHHETAHO5U,3AHTORI2CV5BMIELXJL6G74PTM7HXP,Twitter Misinformation User Survey,Read Machine Learning classification for tweets contain misinformation about vaccines. Rate the classification templates and describe why they are good or bad.,"tweets, misinformation, vaccine, reasoning, rate",$0.20 ,Mon Sep 17 22:23:41 PDT 2018,20,BatchId:3374578;OriginalHitTemplateId:920937332;,3600,259200,Mon Sep 24 22:23:41 PDT 2018,,,3TPWUS5F8A8OD3OQXWB471VUK9CCWD,A37CO0N1KC1CDW,Approved,Mon Sep 17 22:24:24 PDT 2018,Mon Sep 17 22:27:53 PDT 2018,Thu Sep 20 22:27:53 PDT 2018,Tue Sep 18 15:35:08 PDT 2018,,,209,100% (3/3),100% (1/1),100% (1/1),B,{},A,{},B,{},B,{},A,{},C,{},B,{},A,{},B,{},C,{},B,{},B,{},A,{},B,{},,,
3MJ28H2Y1EFTMP8F1YSKOHHETAHO5U,3AHTORI2CV5BMIELXJL6G74PTM7HXP,Twitter Misinformation User Survey,Read Machine Learning classification for tweets contain misinformation about vaccines. Rate the classification templates and describe why they are good or bad.,"tweets, misinformation, vaccine, reasoning, rate",$0.20 ,Mon Sep 17 22:23:41 PDT 2018,20,BatchId:3374578;OriginalHitTemplateId:920937332;,3600,259200,Mon Sep 24 22:23:41 PDT 2018,,,3TU5ZICBRE8HH32R4BWTDQHP6IR8QI,A1KNJ4BBMWMEIY,Approved,Tue Sep 18 01:35:45 PDT 2018,Tue Sep 18 01:37:36 PDT 2018,Fri Sep 21 01:37:36 PDT 2018,Tue Sep 18 15:35:08 PDT 2018,,,111,100% (1/1),100% (1/1),100% (1/1),A,{},B,{},B,{},B,{},B,{},A,{},B,{},A,{},C,{},A,{},A,{},B,{},C,{},A,{},,,
3MJ28H2Y1EFTMP8F1YSKOHHETAHO5U,3AHTORI2CV5BMIELXJL6G74PTM7HXP,Twitter Misinformation User Survey,Read Machine Learning classification for tweets contain misinformation about vaccines. Rate the classification templates and describe why they are good or bad.,"tweets, misinformation, vaccine, reasoning, rate",$0.20 ,Mon Sep 17 22:23:41 PDT 2018,20,BatchId:3374578;OriginalHitTemplateId:920937332;,3600,259200,Mon Sep 24 22:23:41 PDT 2018,,,3U8YCDAGXQNZZEXO97JEKBB7NJY0Q4,AOIR8V07FYMH5,Approved,Mon Sep 17 22:24:00 PDT 2018,Mon Sep 17 22:30:59 PDT 2018,Thu Sep 20 22:30:59 PDT 2018,Tue Sep 18 15:35:08 PDT 2018,,,419,100% (1/1),100% (1/1),100% (1/1),B,Option B is so much better because it explains that aluminum isn't dangerous at all.,B,Option B truely explains that this is not build up and reaching harmful levels.,B,Vaccines go through so much testing before they are able to be used on people. This explains that well.,B,"This explains how viruses come about, which is great.",B,"This needs to be repeated over and over because vaccines do not cause diseases, they prevent them.",B,MMR is not killing people.,B,It explains the side effects well.,B,It explains how the vaccine is the weakened version of the disease sometimes.,B,MMR is very safe to use.,B,Answer B has detailed information.,B,Vaccines do reduce the risk of flu!,B,Because it needs to be repeated that they do NOT cause autism.,B,This is a stupid idea and it is not population control.,B,It is clear that tons of studies are done to keep people from dying from vaccines.,,,
3MJ28H2Y1EFTMP8F1YSKOHHETAHO5U,3AHTORI2CV5BMIELXJL6G74PTM7HXP,Twitter Misinformation User Survey,Read Machine Learning classification for tweets contain misinformation about vaccines. Rate the classification templates and describe why they are good or bad.,"tweets, misinformation, vaccine, reasoning, rate",$0.20 ,Mon Sep 17 22:23:41 PDT 2018,20,BatchId:3374578;OriginalHitTemplateId:920937332;,3600,259200,Mon Sep 24 22:23:41 PDT 2018,,,3VAR3R6G1Q8EWRPBPY4POLMPRGW8OV,AR8ESLATK5RB2,Approved,Mon Sep 17 23:05:46 PDT 2018,Mon Sep 17 23:08:04 PDT 2018,Thu Sep 20 23:08:04 PDT 2018,Tue Sep 18 15:35:08 PDT 2018,,,138,100% (2/2),100% (2/2),100% (2/2),B,{},B,{},B,{},B,{},B,{},B,{},,{},B,{},A,{},A,{},A,{},A,{},B,{},C,{},,,
3MJ28H2Y1EFTMP8F1YSKOHHETAHO5U,3AHTORI2CV5BMIELXJL6G74PTM7HXP,Twitter Misinformation User Survey,Read Machine Learning classification for tweets contain misinformation about vaccines. Rate the classification templates and describe why they are good or bad.,"tweets, misinformation, vaccine, reasoning, rate",$0.20 ,Mon Sep 17 22:23:41 PDT 2018,20,BatchId:3374578;OriginalHitTemplateId:920937332;,3600,259200,Mon Sep 24 22:23:41 PDT 2018,,,3WZ36BJEV4NDBHSQORAY9XIDYUUBTF,A19LKLAPLXL9B1,Approved,Mon Sep 17 22:28:36 PDT 2018,Mon Sep 17 23:27:08 PDT 2018,Thu Sep 20 23:27:08 PDT 2018,Tue Sep 18 15:35:08 PDT 2018,,,3512,100% (1/1),100% (1/1),100% (1/1),A,"In order to show you the most relevant results, we have omitted some entries very similar",B,The issue of mercury in the environment has generated several important reportsvarious sources contribute to potential,A,"8 food products as the most popular food allergies among children. Allergic reactions from exposure, consumption or injection of these foods can be fatal. Those 8 ingredients include peanuts, nuts, wheat, soy, milk, eggs, fish and shellfish",A,"the new medical technologies, including vaccines that have saved millions of livestissues and organs develop. research into basic biological processes and human development.",B,"She recently emailed me to vent against Western Medicineäó»s push to get everyone hooked on drugs and stab kids with risky, ineffective vaccines.",A,"The MMR vaccine helps prevent the measles, mumps, and rubella.This vaccine was a huge development.",B,vaccination is safe and one of the greatest health.,B,live the vaccine some people get the appears to the mild case of a disease.,A,"The recent spate of mumps outbreaks across the country, including one at Harvard, may be due to the waning effectivene",A,The Statistical Century is about as general as one can get for a statistics talk. It is also ambiguous.,B,Data pertaining to study population vaccine components vitamin D levels.,A,Keep yourself updated on the amount of vaccine injuries happening.proves UNDENIABLE connection between vaccination and autism,B,The primary target population for HPV vaccination is girls before initiation.,A,"multiple vacdines at once adults,one time.",,,
3MJ28H2Y1EFTMP8F1YSKOHHETAHO5U,3AHTORI2CV5BMIELXJL6G74PTM7HXP,Twitter Misinformation User Survey,Read Machine Learning classification for tweets contain misinformation about vaccines. Rate the classification templates and describe why they are good or bad.,"tweets, misinformation, vaccine, reasoning, rate",$0.20 ,Mon Sep 17 22:23:41 PDT 2018,20,BatchId:3374578;OriginalHitTemplateId:920937332;,3600,259200,Mon Sep 24 22:23:41 PDT 2018,,,3ZGVPD4G6UO9TFV6U5Q1VFPGPYMZTH,AVEHD2Q2W1FCV,Approved,Mon Sep 17 23:39:46 PDT 2018,Mon Sep 17 23:46:17 PDT 2018,Thu Sep 20 23:46:17 PDT 2018,Tue Sep 18 15:35:08 PDT 2018,,,391,100% (1/1),100% (1/1),100% (1/1),B,B gave more evidence to convince me.,B,B is better explanation.,B,B is better.,C,B talked a lot but no reference.,C,B has no reference.,B,B explains better.,C,B has no reference.,B,B explains better.,B,B is better.,B,B is better.,B,B is better.,C,B has no specific reference.,A,B tries to mislead me.,B,B is better.,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,3,,5,,5,,6,,5,,6,,5,,2,,10,,7,,4,,3,,5,72,5.142857143,1.884415137,0.257142857
,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,15,,12,,11,,8,,11,,11,,11,,14,,8,,11,,12,,12,,13,162,11.57142857,1.878992348,0.578571429
,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,3,,3,,5,,3,,1,,4,,2,,2,,2,,4,,5,,2,39,2.785714286,1.263700429,0.139285714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,the explanation is long.,,,,,,,,-6,-3,-5,-5,-6,-5,-6,-5,-2,-10,-7,-4,-3,-5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"without go into the URL, a lot of them cannot see the direct link between tweets and the explanation.",,,,,,,,13,15,12,11,8,11,11,11,14,8,11,12,12,13,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,No reference.,,,,,,,,1,2,3,3,5,3,1,4,2,2,2,4,5,2,,,,,,,,,,,,,,
